Full Quote,Source
"""You wanna get nuts? Come on! Let's get nuts!""",Batman (1989)
"""Maybe that's what Batman is about. Not winning, but failing, and getting back up. Knowing he'll fail, fail a thousand times, but still won't give up.""",Zero Year
"""No miracles. No mercy. No redemption. No heaven. No hell. No Higher Power. Just life, just...us.""",Batman: Absolution
"""I don't blend in at a family picnic.""",Batman Forever
"""It is the duty of every good citizen of Gotham City to report meeting a man from Mars in a public park.""",Batman (TV series)
"""I see without seeing. To me, darkness is as clear as daylight. What am I?""",Batman Forever
"""The bat-signal is not a beeper.""",Batman Forever
"""Let that be a lesson. In the future, be more careful from who you accept free lemonade.""",Batman (TV series)
"""It's obvious. Only a criminal would disguise himself as a licensed, bonded guard yet callously park in front of a fire hydrant.""",Batman (TV series)
"""I'm a night-stalking, crime-fighting vigilante, and a heavy metal rapping machine. I don't feel anything emotionally, except for rage.",The LEGO Batman Movie
"""Yeah. We have to right a wrong. And sometimes, in order to right a wrong, you have to do a wrong-right.""",The LEGO Batman Movie
"""There is no ""us."" Batman and Joker are not a thing. I don't need you. I don't need anyone. You mean nothing to me. No one does.""",The LEGO Batman Movie
“Some days you just can’t get rid of a bomb …”,Batman (1966 film)
"“I thought I’d found an opponent to match wits with, but you’re just another lunatic in a costume.”",Beware the Batman
"“I had a bad day too, once.”",Batman: The Animated Series
“Sorry. Crime doesn’t take dinner breaks and neither do I.”,Batman: The Brave and the Bold
“There are two things in life everyone’s powerless against. Love and revenge.”,Beware the Batman
"“I smiled. Not out of happiness. But because I knew … that one day, I wouldn’t have to do this anymore. One day, I could stop fighting. Because one day … I would win. One day, there will be no pain, no loss, no crime. Because of me, because I fight. For you. One day, I will win.”",Batman (1940) No. 625
“You prefer to call me Batman. But the reason you can never escape me … is that my name is fear. And I live within you.”,Batman: Ego
“The Batman doesn’t compromise. I keep the city safe … even if it’s safer by just one person.. And I do not ever give in or give up.”,Batman: Whatever Happened To the Caped Crusader?
"“People think it’s an obsession. A compulsion. As if there were an irresistible impulse to act. It’s never been like that. I chose this life. I know what I’m doing. And on any given day, I could stop doing it. Today, however, isn’t that day. And tomorrow won’t be either.”",Identity Crisis
"“Everyone gets scared. And that’s fine. Be scared. But remember, all that means is everyone gets the opportunity to fight that fear. Everyone gets the chance to be brave.”",Batman (2016) No. 24
"“I’ve been thinking a lot lately. About you and me. About what’s going to happen to us, in the end. We’re going to kill each other, aren’t we? Perhaps you’ll kill me. Perhaps I’ll kill you. Perhaps sooner, perhaps later. I just wanted to know that I’d made a genuine attempt to talk things over and avert that outcome. Just once.”",Batman: The Killing Joke
"“There is a difference between you and me. We both looked into the abyss, but when it looked back at us, you blinked.”",Justice League: Crisis on Two Earths
