word,previous word,next word
dual,.,responsibilities
responsibilities,dual,.
.,responsibilities,
i'm,,not
not,i'm,going
going,not,to
to,going,kill
kill,to,you
you,kill,.
.,you,i
i,.,want
want,i,you
you,want,to
to,you,do
do,to,me
me,do,a
a,me,favor
favor,a,.
.,favor,i
i,.,want
want,i,you
you,want,to
to,you,tell
tell,to,all
all,tell,your
your,all,friends
friends,your,about
about,friends,me
me,about,.
.,me,
as,,a
a,as,man;
man;,a,i
i,man;,am
am,i,flesh
flesh,am,and
and,flesh,blood;
blood;,and,i
i,blood;,can
can,i,be
be,can,ignored
ignored,be,","
",",ignored,i
i,",",can
can,i,be
be,can,destroyed
destroyed,be,.
.,destroyed,but
but,.,as
as,but,a
a,as,symbol
symbol,a,","
",",symbol,i
i,",",can
can,i,be
be,can,incorruptible
incorruptible,be,.
.,incorruptible,i
i,.,can
can,i,be
be,can,everlasting
everlasting,be,.
.,everlasting,
not,,you
you,not,","
",",you,robin
robin,",",.
.,robin,they
they,.,have
have,they,strict
strict,have,licensing
licensing,strict,laws
laws,licensing,in
in,laws,this
this,in,country
country,this,.
.,country,a
a,.,boy
boy,a,of
of,boy,your
your,of,age
age,your,is
is,age,not
not,is,allowed
allowed,not,in
in,allowed,a
a,in,drinking
drinking,a,tavern
tavern,drinking,.
.,tavern,
the,,TRUE
TRUE,the,crimefighter
crimefighter,TRUE,always
always,crimefighter,carries
carries,always,everything
everything,carries,he
he,everything,needs
needs,he,in
in,needs,his
his,in,utility
utility,his,belt
belt,utility,","
",",belt,robin
robin,",",.
.,robin,
she,,wants
wants,she,to
to,wants,kill
kill,to,you
you,kill,","
",",you,dick
dick,",",.
.,dick,
you,,wanna
wanna,you,get
get,wanna,nuts
nuts,get,.
.,nuts,come
come,.,on
on,come,.
.,on,let's
let's,.,get
get,let's,nuts
nuts,get,.
.,nuts,
maybe,,that's
that's,maybe,what
what,that's,batman
batman,what,is
is,batman,about
about,is,.
.,about,not
not,.,winning
winning,not,","
",",winning,but
but,",",failing
failing,but,","
",",failing,and
and,",",getting
getting,and,back
back,getting,up
up,back,.
.,up,knowing
knowing,.,he'll
he'll,knowing,fail
fail,he'll,","
",",fail,fail
fail,",",a
a,fail,thousand
thousand,a,times
times,thousand,","
",",times,but
but,",",still
still,but,won't
won't,still,give
give,won't,up
up,give,.
.,up,
no,,miracles
miracles,no,.
.,miracles,no
no,.,mercy
mercy,no,.
.,mercy,no
no,.,redemption
redemption,no,.
.,redemption,no
no,.,heaven
heaven,no,.
.,heaven,no
no,.,hell
hell,no,.
.,hell,no
no,.,higher
higher,no,power
power,higher,.
.,power,just
just,.,life
life,just,","
",",life,just
just,",",.
.,just,.
.,.,.us
.us,.,.
.,.us,
i,,don't
don't,i,blend
blend,don't,in
in,blend,at
at,in,a
a,at,family
family,a,picnic
picnic,family,.
.,picnic,
it,,is
is,it,the
the,is,duty
duty,the,of
of,duty,every
every,of,good
good,every,citizen
citizen,good,of
of,citizen,gotham
gotham,of,city
city,gotham,to
to,city,report
report,to,meeting
meeting,report,a
a,meeting,man
man,a,from
from,man,mars
mars,from,in
in,mars,a
a,in,public
public,a,park
park,public,.
.,park,
i,,see
see,i,without
without,see,seeing
seeing,without,.
.,seeing,to
to,.,me
me,to,","
",",me,darkness
darkness,",",is
is,darkness,as
as,is,clear
clear,as,as
as,clear,daylight
daylight,as,.
.,daylight,what
what,.,am
am,what,i
i,am,.
.,i,
the,,bat-signal
bat-signal,the,is
is,bat-signal,not
not,is,a
a,not,beeper
beeper,a,.
.,beeper,
let,,that
that,let,be
be,that,a
a,be,lesson
lesson,a,.
.,lesson,in
in,.,the
the,in,future
future,the,","
",",future,be
be,",",more
more,be,careful
careful,more,from
from,careful,who
who,from,you
you,who,accept
accept,you,free
free,accept,lemonade
lemonade,free,.
.,lemonade,
it's,,obvious
obvious,it's,.
.,obvious,only
only,.,a
a,only,criminal
criminal,a,would
would,criminal,disguise
disguise,would,himself
himself,disguise,as
as,himself,a
a,as,licensed
licensed,a,","
",",licensed,bonded
bonded,",",guard
guard,bonded,yet
yet,guard,callously
callously,yet,park
park,callously,in
in,park,front
front,in,of
of,front,a
a,of,fire
fire,a,hydrant
hydrant,fire,.
.,hydrant,
i'm,,a
a,i'm,night-stalking
night-stalking,a,","
",",night-stalking,crime-fighting
crime-fighting,",",vigilante
vigilante,crime-fighting,","
",",vigilante,and
and,",",a
a,and,heavy
heavy,a,metal
metal,heavy,rapping
rapping,metal,machine
machine,rapping,.
.,machine,i
i,.,don't
don't,i,feel
feel,don't,anything
anything,feel,emotionally
emotionally,anything,","
",",emotionally,except
except,",",for
for,except,rage
rage,for,.
.,rage,
yeah,,.
.,yeah,we
we,.,have
have,we,to
to,have,right
right,to,a
a,right,wrong
wrong,a,.
.,wrong,and
and,.,sometimes
sometimes,and,","
",",sometimes,in
in,",",order
order,in,to
to,order,right
right,to,a
a,right,wrong
wrong,a,","
",",wrong,you
you,",",have
have,you,to
to,have,do
do,to,a
a,do,wrong-right
wrong-right,a,.
.,wrong-right,
there,,is
is,there,no
no,is,us
us,no,.
.,us,batman
batman,.,and
and,batman,joker
joker,and,are
are,joker,not
not,are,a
a,not,thing
thing,a,.
.,thing,i
i,.,don't
don't,i,need
need,don't,you
you,need,.
.,you,i
i,.,don't
don't,i,need
need,don't,anyone
anyone,need,.
.,anyone,you
you,.,mean
mean,you,nothing
nothing,mean,to
to,nothing,me
me,to,.
.,me,no
no,.,one
one,no,does
does,one,.
.,does,
some,,days
days,some,you
you,days,just
just,you,can’t
can’t,just,get
get,can’t,rid
rid,get,of
of,rid,a
a,of,bomb
bomb,a,.
.,bomb,.
.,.,.
.,.,
i,,thought
thought,i,i’d
i’d,thought,found
found,i’d,an
an,found,opponent
opponent,an,to
to,opponent,match
match,to,wits
wits,match,with
with,wits,","
",",with,but
but,",",you’re
you’re,but,just
just,you’re,another
another,just,lunatic
lunatic,another,in
in,lunatic,a
a,in,costume
costume,a,.
.,costume,
i,,had
had,i,a
a,had,bad
bad,a,day
day,bad,too
too,day,","
",",too,once
once,",",
.,,sorry
sorry,.,.
.,sorry,crime
crime,.,doesn’t
doesn’t,crime,take
take,doesn’t,dinner
dinner,take,breaks
breaks,dinner,and
and,breaks,neither
neither,and,do
do,neither,i
i,do,.
.,i,
there,,are
are,there,two
two,are,things
things,two,in
in,things,life
life,in,everyone’s
everyone’s,life,powerless
powerless,everyone’s,against
against,powerless,.
.,against,love
love,.,and
and,love,revenge
revenge,and,.
.,revenge,
i,,smiled
smiled,i,.
.,smiled,not
not,.,out
out,not,of
of,out,happiness
happiness,of,.
.,happiness,but
but,.,because
because,but,i
i,because,knew
knew,i,.
.,knew,.
.,.,.
.,.,that
that,.,one
one,that,day
day,one,","
",",day,i
i,",",wouldn’t
wouldn’t,i,have
have,wouldn’t,to
to,have,do
do,to,this
this,do,anymore
anymore,this,.
.,anymore,one
one,.,day
day,one,","
",",day,i
i,",",could
could,i,stop
stop,could,fighting
fighting,stop,.
.,fighting,because
because,.,one
one,because,day
day,one,.
.,day,.
.,.,.
.,.,i
i,.,would
would,i,win
win,would,.
.,win,one
one,.,day
day,one,","
",",day,there
there,",",will
will,there,be
be,will,no
no,be,pain
pain,no,","
",",pain,no
no,",",loss
loss,no,","
",",loss,no
no,",",crime
crime,no,.
.,crime,because
because,.,of
of,because,me
me,of,","
",",me,because
because,",",i
i,because,fight
fight,i,.
.,fight,for
for,.,you
you,for,.
.,you,one
one,.,day
day,one,","
",",day,i
i,",",will
will,i,win
win,will,.
.,win,
you,,prefer
prefer,you,to
to,prefer,call
call,to,me
me,call,batman
batman,me,.
.,batman,but
but,.,the
the,but,reason
reason,the,you
you,reason,can
can,you,never
never,can,escape
escape,never,me
me,escape,.
.,me,.
.,.,.
.,.,is
is,.,that
that,is,my
my,that,name
name,my,is
is,name,fear
fear,is,.
.,fear,and
and,.,i
i,and,live
live,i,within
within,live,you
you,within,.
.,you,
the,,batman
batman,the,doesn’t
doesn’t,batman,compromise
compromise,doesn’t,.
.,compromise,i
i,.,keep
keep,i,the
the,keep,city
city,the,safe
safe,city,.
.,safe,.
.,.,.
.,.,even
even,.,if
if,even,it’s
it’s,if,safer
safer,it’s,by
by,safer,just
just,by,one
one,just,person
person,one,.
.,person,.
.,.,and
and,.,i
i,and,do
do,i,not
not,do,ever
ever,not,give
give,ever,in
in,give,or
or,in,give
give,or,up
up,give,.
.,up,
people,,think
think,people,it’s
it’s,think,an
an,it’s,obsession
obsession,an,.
.,obsession,a
a,.,compulsion
compulsion,a,.
.,compulsion,as
as,.,if
if,as,there
there,if,were
were,there,an
an,were,irresistible
irresistible,an,impulse
impulse,irresistible,to
to,impulse,act
act,to,.
.,act,it’s
it’s,.,never
never,it’s,been
been,never,like
like,been,that
that,like,.
.,that,i
i,.,chose
chose,i,this
this,chose,life
life,this,.
.,life,i
i,.,know
know,i,what
what,know,i’m
i’m,what,doing
doing,i’m,.
.,doing,and
and,.,on
on,and,any
any,on,given
given,any,day
day,given,","
",",day,i
i,",",could
could,i,stop
stop,could,doing
doing,stop,it
it,doing,.
.,it,today
today,.,","
",",today,however
however,",",","
",",however,isn’t
isn’t,",",that
that,isn’t,day
day,that,.
.,day,and
and,.,tomorrow
tomorrow,and,won’t
won’t,tomorrow,be
be,won’t,either
either,be,.
.,either,
everyone,,gets
gets,everyone,scared
scared,gets,.
.,scared,and
and,.,that’s
that’s,and,fine
fine,that’s,.
.,fine,be
be,.,scared
scared,be,.
.,scared,but
but,.,remember
remember,but,","
",",remember,all
all,",",that
that,all,means
means,that,is
is,means,everyone
everyone,is,gets
gets,everyone,the
the,gets,opportunity
opportunity,the,to
to,opportunity,fight
fight,to,that
that,fight,fear
fear,that,.
.,fear,everyone
everyone,.,gets
gets,everyone,the
the,gets,chance
chance,the,to
to,chance,be
be,to,brave
brave,be,.
.,brave,
i’ve,,been
been,i’ve,thinking
thinking,been,a
a,thinking,lot
lot,a,lately
lately,lot,.
.,lately,about
about,.,you
you,about,and
and,you,me
me,and,.
.,me,about
about,.,what’s
what’s,about,going
going,what’s,to
to,going,happen
happen,to,to
to,happen,us
us,to,","
",",us,in
in,",",the
the,in,end
end,the,.
.,end,we’re
we’re,.,going
going,we’re,to
to,going,kill
kill,to,each
each,kill,other
other,each,","
",",other,aren’t
aren’t,",",we
we,aren’t,.
.,we,perhaps
perhaps,.,you’ll
you’ll,perhaps,kill
kill,you’ll,me
me,kill,.
.,me,perhaps
perhaps,.,i’ll
i’ll,perhaps,kill
kill,i’ll,you
you,kill,.
.,you,perhaps
perhaps,.,sooner
sooner,perhaps,","
",",sooner,perhaps
perhaps,",",later
later,perhaps,.
.,later,i
i,.,just
just,i,wanted
wanted,just,to
to,wanted,know
know,to,that
that,know,i’d
i’d,that,made
made,i’d,a
a,made,genuine
genuine,a,attempt
attempt,genuine,to
to,attempt,talk
talk,to,things
things,talk,over
over,things,and
and,over,avert
avert,and,that
that,avert,outcome
outcome,that,.
.,outcome,just
just,.,once
once,just,.
.,once,
there,,is
is,there,a
a,is,difference
difference,a,between
between,difference,you
you,between,and
and,you,me
me,and,.
.,me,we
we,.,both
both,we,looked
looked,both,into
into,looked,the
the,into,abyss
abyss,the,","
",",abyss,but
but,",",when
when,but,it
it,when,looked
looked,it,back
back,looked,at
at,back,us
us,at,","
",",us,you
you,",",blinked
blinked,you,.
.,blinked,
